id_poi_datatourisme;match_score;name;siret;site_internet;contact_url;entree_plain_pied
1497;129.9;La Galerne;;http://www.lagalerne.com/;https://www.lagalerne.com/nous-contacter/;True
1555;129.6;Le Grignot;;https://legrignot.fr/;;True
1579;86.5;Église Saint-Joseph;;https://www.lehavre-etretat-tourisme.com/decouvrir/les-incontournables/eglise-saint-joseph-du-havre/;https://www.lehavre-etretat-tourisme.com/contactez-nous/;True
1663;129.8;Origines;;;;
1697;130.0;Calice et Mandibule;;http://www.calice-mandibule.fr/;;True
1704;129.6;Théâtre Le Normandy;;https://theatrelenormandy.com/;https://theatrelenormandy.com/contact/;False
1729;129.7;LH Station Café;;https://www.lhstationcafe.fr/;;True
1739;91.4;Cimetière Sainte-Marie;;http://lehavre.fr/annuaire/cimetiere-sainte-marie;https://www.lehavreseine-patrimoine.fr/patrimoines/patrimoine-funeraire-et-religieux/cimetiere-sainte-marie;True
1750;129.6;Le Salon des P'Tea Chats;;;;
1773;130.0;Le Funiculaire;;;;True
1791;95.3;JOST Auberge de jeunesse Le Havre Centre Gare;;;;True
1879;100.9;Abbaye de Graville;;https://musees-mah-lehavre.fr/;https://musees-mah-lehavre.fr/contact;True
1895;88.2;La Rêverie;;;;
2074;129.8;Chez Lili;;http://chezlili.bar/;https://chezlili.bar/contactez-le-restaurant/;True
2199;85.0;Le Havre - Port Center;;https://lehavreportcenter.com/;https://lehavreportcenter.com/;True
2217;130.0;Paradox;;https://www.paradox-vr.fr/;https://www.paradox-vr.fr/contact/;True
2344;128.9;Hilton Garden Inn Le Havre Centre;;;;True
2351;129.4;Église Saint-Joseph;;https://www.lehavre-etretat-tourisme.com/decouvrir/les-incontournables/eglise-saint-joseph-du-havre/;https://www.lehavre-etretat-tourisme.com/contactez-nous/;True
2425;113.6;Les Fauves;;https://lesfauves.fr/;https://lesfauves.fr/contactez-le-restaurant/;True
2482;129.8;Manufactory;;https://www.manufactorylh.com;;False
2529;98.6;Hotel Vent D'Ouest;;http://www.ventdouest.fr/;;True
2550;102.6;Les Gens de Mer Le Havre;;;;
2632;113.5;Appartement témoin Perret;;https://www.lehavreseine-patrimoine.fr/patrimoines/le-havre-patrimoine-mondial/appartement-temoin-perret;https://www.lehavreseine-patrimoine.fr/foire-aux-questions;True
2661;90.6;Hôtel Ibis Styles le Havre;;https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=9017&merchantid=seo-maps-FR-9017&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps;;False
