id_poi;poi;lat;lon;found;distance_m;api_lat;api_lon;image_url;nb_results
822;La Maison - Chambre Manor House;49.4272736;1.08372759;True;5.97;49.4273014;1.0837982;https://panoramax.openstreetmap.fr/derivates/26/c5/61/25/813c-4f77-88fc-f432360cc9d8/sd.jpg;10
823;[Atelier] Blockprinting;49.9302747;1.084813;True;16.78;49.930184181;1.0850005;https://panoramax.openstreetmap.fr/derivates/83/56/ca/ab/95ab-4d45-b92d-2e937402d6e3/sd.jpg;10
824;Exposition de peinture;49.9043513;0.92226363;False;;;;;0
825;[Visite guidée] Cité maritime;49.9265284;1.08010083;True;2.21;49.926516714;1.080075883;https://panoramax.openstreetmap.fr/derivates/d5/99/12/55/3d90-4669-a611-2723a1e3e372/sd.jpg;10
826;Centre Henri Becquerel;49.4386242;1.1061905;True;34.38;49.438330583;1.1063395;https://panoramax.openstreetmap.fr/derivates/f7/17/25/ed/6ae5-48eb-a175-57cae3a9d729/sd.jpg;10
827;[Atelier] Auto-réparation vélo;49.9163852;1.070615;False;;;;;0
828;Fête communale- Foire à tout/corso fleuri et fête foraine à Canville les deux églises;49.7704359;0.84102999;False;;;;;0
829;Lecture avec Catherine à la Librairie des 400 coups;49.4951039;0.1091365;True;8.28;49.495152;0.109224;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/c0/bc/fc/29/aea2-4877-a2b9-71b3b0f82679/sd.jpg;10
830;Balade nautique - Centre Nautique du Tréport;50.062666;1.378418;True;10.31;50.0627337;1.3783194;https://panoramax.openstreetmap.fr/derivates/d7/95/7f/6f/ae9f-43d3-bd7e-9ff60346639a/sd.jpg;10
831;Le Marie-Cloche à VTT;49.7333951;1.43566827;True;25.62;49.733409972;1.436023972;https://panoramax.openstreetmap.fr/derivates/1f/36/03/d7/7033-4cb0-8560-122e10dc2039/sd.jpg;1
832;Aire de stationnement et de service de Veulettes-sur-Mer (chemin des courses);49.8521648;0.6019856;True;9.61;49.852101;0.602076;https://panoramax.openstreetmap.fr/derivates/78/d4/ee/c4/5cb3-45f8-8394-127b023b0ac7/sd.jpg;10
833;Hôtel de la Plage;49.9043842;0.92281642;False;;;;;0
834;Mme DEBRUYNE Angélique;50.04178;1.35648;True;3.37;50.041752;1.3564621;https://panoramax.openstreetmap.fr/derivates/77/60/25/2f/db54-4642-b3d8-1308c002eb41/sd.jpg;10
835;L'Auberge Bucheoise;49.5846235;1.3571485;False;;;;;0
836;"Exposition et Grand Jeu ""Bien sur ma planète"" : Mission valorisation";50.056881;1.3732369;True;10.06;50.056879972;1.373096;https://panoramax.openstreetmap.fr/derivates/85/5a/b8/25/468e-477e-8eb1-517f17bbfec7/sd.jpg;10
837;Les racontines;49.4886;0.56932;True;3.3;49.488571083;0.569309914;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/a8/58/d2/49/23b6-4f40-ac50-e1df7a17a6d5/sd.jpg;10
838;Bienvenue chez Martine et Jean-Claude VAILLANT;49.7589164;0.3611736;False;;;;;0
839;[Visite du Château] Grâce aux 5 sens;49.860918;1.083522;False;;;;;0
840;La fabrique des ados : crochet;49.5243809;0.72221839;True;49.39;49.52481655;0.722084786;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/91/84/27/9e/f664-411b-960b-8190712b31c8/sd.jpg;10
