id_poi;poi;poi_api;source;verdict;score
80;[Sport] Gala de Gymnastique aux Agrès;Aucun;Aucune;Inconnu;0
81;Montigny;Aucun;Aucune;Inconnu;0
82;Gites beauregard - Gîte Madeleine;Aucun;Aucune;Inconnu;0
83;Maison des forêts Darnétal;Maison des Forêts;OSM;Inconnu;95
84;Maître Jean;Aucun;Aucune;Inconnu;0
85;Le Camp de César;Aucun;Aucune;Inconnu;0
86;L'Écrin du Manoir du Perroy;Manoir du Perroy;OSM;Inconnu;98
87;Gratte-Panche;Aucun;Aucune;Inconnu;0
88;Loto;Aucun;Aucune;Inconnu;0
90;[Spectacle] Dansons l'opéra;Aucun;Aucune;Inconnu;0
91;"Lecture-conférence photographique ""la Normandie"" par Gilles Régnier";Aucun;Aucune;Inconnu;0
92;Atelier créatif : Cyanotype;Aucun;Aucune;Inconnu;0
93;Claricello - Fantaisie musicale pour trio extravagant;Aucun;Aucune;Inconnu;0
94;Les Sérénades de Printemps du Vert Galant;Aucun;Aucune;Inconnu;0
95;Les Racines du Goût;Aucun;Aucune;Inconnu;0
96;Aire de Camping-Car de Ry;Aucun;Aucune;Inconnu;0
98;Site Médiéval de Blainville-Crevon;Aucun;Aucune;Inconnu;0
99;Gîtes de France® - La Petite Maison;Aucun;Aucune;Inconnu;0
100;Visite découverte du village du lin;Aucun;Aucune;Inconnu;0
101;Visite guidée du manoir d'Auffay;Aucun;Aucune;Inconnu;0
102;[Concert] Festival de Musique Ancienne;Aucun;Aucune;Inconnu;0
103;La Plaine de Sonimare à cheval;Aucun;Aucune;Inconnu;0
104;Table ronde : Arctique - eldorado maritime ou zone à risques ? Mercredi 15;Aucun;Aucune;Inconnu;0
105;Point Plage de Dieppe · Initiations aux loisirs nautiques et location de matériel;Aucun;Aucune;Inconnu;0
107;Centre hospitalier du Belvédère;Centre hospitalier du Belvédère;AccèsLibre;Oui;114
108;Vacances de printemps créatives avec Manufactory;Aucun;Aucune;Inconnu;0
109;Les ateliers théâtre sur scène;Aucun;Aucune;Inconnu;0
110;La Jolie Fécampoise;Aucun;Aucune;Inconnu;0
111;Défilé Charlott';Aucun;Aucune;Inconnu;0
112;Visite de Buchy;Aucun;Aucune;Inconnu;0
113;Gîte L'ancienne Forge;Aucun;Aucune;Inconnu;0
114;Klic-klac c'est dans la boîte;Aucun;Aucune;Inconnu;0
115;Salon du livre;Aucun;Aucune;Inconnu;0
116;Scène ouverte fête de la musique;Aucun;Aucune;Inconnu;0
117;Vilaterre;Aucun;Aucune;Inconnu;0
118;Hôtel B&B Yvetot;B&B HOTEL Yvetot;AccèsLibre;Oui;111
119;Gare de Longroy-Gamaches;Longroy - Gamaches;OSM;Inconnu;91
120;La Ferme du Pays;GAEC de la ferme du pays;OSM;Inconnu;124
