id_poi;poi;found;best_score;best_match;nb_results
82;Gites beauregard - Gîte Madeleine;False;0;;0
83;Maison des forêts Darnétal;False;0;;0
84;Maître Jean;True;0.5238095238095238;Maître de sa joie / Jean Dolent;5
85;Le Camp de César;True;0.5;"""Camp de César près Apt"" (MAN 22360)";5
86;L'Écrin du Manoir du Perroy;False;0;;0
87;Gratte-Panche;False;0;;0
88;Loto;True;1.0;Loto;5
89;Circuit du Courval;False;0;;0
90;[Spectacle] Dansons l'opéra;False;0;;0
91;"Lecture-conférence photographique ""la Normandie"" par Gilles Régnier";False;0;;0
92;Atelier créatif : Cyanotype;False;0;;0
93;Claricello - Fantaisie musicale pour trio extravagant;False;0;;0
94;Les Sérénades de Printemps du Vert Galant;False;0;;0
95;Les Racines du Goût;True;0.3125;Mary Anna Barbey (Ecrivaine, exil et racines);5
96;Aire de Camping-Car de Ry;False;0;;0
97;Gîtes de France® - Le Varvannes;False;0;;0
98;Site Médiéval de Blainville-Crevon;False;0;;0
99;Gîtes de France® - La Petite Maison;False;0;;0
100;Visite découverte du village du lin;False;0;;0
101;Visite guidée du manoir d'Auffay;False;0;;0
102;[Concert] Festival de Musique Ancienne;True;0.6741573033707866;3e Concert Classique de Musique Ancienne et Moderne;5
103;La Plaine de Sonimare à cheval;False;0;;0
104;Table ronde : Arctique - eldorado maritime ou zone à risques ? Mercredi 15;False;0;;0
105;Point Plage de Dieppe · Initiations aux loisirs nautiques et location de matériel;False;0;;0
106;Pressoir du Bois Gribout;False;0;;0
107;Centre hospitalier du Belvédère;False;0;;0
108;Vacances de printemps créatives avec Manufactory;False;0;;0
109;Les ateliers théâtre sur scène;True;0.4375;Jeanne-Odette Evard (Plasticienne);4
110;La Jolie Fécampoise;False;0;;0
111;Défilé Charlott';False;0;;0
112;Visite de Buchy;False;0;;0
113;Gîte L'ancienne Forge;False;0;;0
114;Klic-klac c'est dans la boîte;False;0;;0
115;Salon du livre;True;1.0;Salon du livre;5
116;Scène ouverte fête de la musique;True;0.3789473684210526;Claude Nobs (Fondateur et producteur du Montreux Jazz Festival);1
117;Vilaterre;False;0;;0
118;Hôtel B&B Yvetot;True;0.19277108433734935;Recueil de pièces relatives à l'histoire de France, de 1527 à 1605.;1
119;Gare de Longroy-Gamaches;False;0;;0
120;La Ferme du Pays;True;0.3855421686746988;Carte De La Terre Ferme Du Perou, Du Bresil Et Du Pays Des Amazones;5
121;Monroe;True;0.6;Marilyn Monroe;5
122;Visite Atelier Roger Douville;False;0;;0
123;[Festival J.E.Di];True;0.32558139534883723;E' solo questione di tempo;5
124;"Exposition artistique ""Dramagraphie""";False;0;;0
