Nom;latitude;longitude;found;google_maps_url
Château d'Arques;49.880241;1.125068;True;https://www.google.com/maps/search/?api=1&query=49.880241%2C1.125068%28Ch%C3%A2teau%20d%27Arques%29
Bienvenue Cour des Terre-Neuvas;49.860582;0.708557;True;https://www.google.com/maps/search/?api=1&query=49.860582%2C0.708557%28Bienvenue%20Cour%20des%20Terre-Neuvas%29
Escape Game Egypte « Le trésor d’Amékhasis » - Art’Sport Café;49.4871471;0.14572997;True;https://www.google.com/maps/search/?api=1&query=49.4871471%2C0.14572997%28Escape%20Game%20Egypte%20%C2%AB%20Le%20tr%C3%A9sor%20d%E2%80%99Am%C3%A9khasis%20%C2%BB%20-%20Art%E2%80%99Sport%20Caf%C3%A9%29
Parc des Falaises du Havre;49.510479;0.066994;True;https://www.google.com/maps/search/?api=1&query=49.510479%2C0.066994%28Parc%20des%20Falaises%20du%20Havre%29
Le Clos des Tempêtes;49.7068546;0.2037023;True;https://www.google.com/maps/search/?api=1&query=49.7068546%2C0.2037023%28Le%20Clos%20des%20Temp%C3%AAtes%29
[Sortie Nature] Le vivant de la vallée de la Scie;49.918234;1.0342562;True;https://www.google.com/maps/search/?api=1&query=49.918234%2C1.0342562%28%5BSortie%20Nature%5D%20Le%20vivant%20de%20la%20vall%C3%A9e%20de%20la%20Scie%29
"Pièce de théâtre  ""Y'a plus de vieillesse"" de la troupe""Y'a pas d'Art Qu'en Ville"" au Foyer Rural de Robertot";49.717638;0.689659;True;https://www.google.com/maps/search/?api=1&query=49.717638%2C0.689659%28Pi%C3%A8ce%20de%20th%C3%A9%C3%A2tre%20%20%22Y%27a%20plus%20de%20vieillesse%22%20de%20la%20troupe%22Y%27a%20pas%20d%27Art%20Qu%27en%20Ville%22%20au%20Foyer%20Rural%20de%20Robertot%29
[Jeux] Biblis en Folie;49.8731284;1.046969;True;https://www.google.com/maps/search/?api=1&query=49.8731284%2C1.046969%28%5BJeux%5D%20Biblis%20en%20Folie%29
Les journées de l'arbre;49.5037783;0.0942485;True;https://www.google.com/maps/search/?api=1&query=49.5037783%2C0.0942485%28Les%20journ%C3%A9es%20de%20l%27arbre%29
Visite commentée du patrimoine de la commune;49.8169907;0.63752349;True;https://www.google.com/maps/search/?api=1&query=49.8169907%2C0.63752349%28Visite%20comment%C3%A9e%20du%20patrimoine%20de%20la%20commune%29
[Concert] Les Légendes Pop/Rock;49.8737296;1.0476766;True;https://www.google.com/maps/search/?api=1&query=49.8737296%2C1.0476766%28%5BConcert%5D%20Les%20L%C3%A9gendes%20Pop/Rock%29
Passage du Rallye de Dieppe-Normandie;49.793689;0.968978;True;https://www.google.com/maps/search/?api=1&query=49.793689%2C0.968978%28Passage%20du%20Rallye%20de%20Dieppe-Normandie%29
