id_poi;nom;nom_osm;score_fiabilite;Heure_Ouverture;Categorie
289;Aire de stationnement et de service du Flower Camping La Chênaie;Aucun;0;Inconnu;accommodation
292;La Basse Vallée de la Durdent;Aucun;0;Inconnu;activity
303;Site V1 de Guerville;Aucun;0;Inconnu;culture
309;L'oeil et la main - Espace d'expositions d'art;Aucun;0;Inconnu;culture
312;Base Nautique et de Loisirs de Bédanne;Aucun;0;Inconnu;activity
313;Woupi;Aucun;0;Inconnu;activity
315;Maison de santé pluridisciplinaire La Charmille;Aucun;0;Inconnu;shop
317;La Dame au Chapeau;Aucun;0;Inconnu;food
319;Chapelle Seigneuriale de l'église Notre-Dame;Aucun;0;Inconnu;culture
324;NAMONT Béatrice;Aucun;0;Inconnu;accommodation
325;Les Grands Genêts;Aucun;0;Inconnu;activity
329;La Plaine du Moulin;Aucun;0;Inconnu;activity
333;Gare de Le Houlme;Aucun;0;Inconnu;activity
338;La VéloCauchoise;Aucun;0;Inconnu;activity
342;Glicool;Aucun;0;Inconnu;accommodation
343;Gare de Motteville;Aucun;0;Inconnu;activity
347;Marais de Fesques;Aucun;0;Inconnu;nature
349;Le Vallon;Aucun;0;Inconnu;activity
351;La Porteuse d'Eau;Aucun;0;Inconnu;nature
352;Saint Valery en Caux : une ville et la mer;Aucun;0;Inconnu;other
354;Les îles de la Seine en paddle au coucher du soleil;Aucun;0;Inconnu;other
358;Tiny House Graine d'Insolite;Aucun;0;Inconnu;accommodation
361;"APPARTEMENT ""LA SUITE ISAHORA"" _ LOVE ROOM";Aucun;0;Inconnu;accommodation
362;Gare d'Yvetot;Yvetot;89;"Mo-Fr 05:30 -21:00; Sa 06:30-20:35; Su 08:15-21:30";activity
364;Meublé 37/38 LEVILLAIN;Aucun;0;Inconnu;accommodation
365;Le Marais des Communaux;Aucun;0;Inconnu;nature
368;Gare de Montville;Aucun;0;Inconnu;activity
377;Le Grenier de La Mothe - Management par l’orchestre;Aucun;0;Inconnu;other
380;Les Deux Piliers;Aucun;0;Inconnu;accommodation
383;Gîtes de France® - Gîte du Levant;Aucun;0;Inconnu;accommodation
388;MEDI-CAUX BUS du Pays de Caux;Aucun;0;Inconnu;shop
390;Le Genetey;Aucun;0;Inconnu;activity
392;L'Escale du Gros-Horloge;Bar tabac du Gros Horloge;72;"Mo-Sa 07:00-20:00; Su 10:00-20:00";accommodation
397;"Gîte ""le Bâtiment""";Aucun;0;Inconnu;accommodation
401;Aire de pique-nique de Martainville-Epreville;Aucun;0;Inconnu;activity
402;L'Écurie et l'Étable;Aucun;0;Inconnu;accommodation
404;Les chemins de forrières;Aucun;0;Inconnu;activity
407;Centre de santé de Fontaine le Dun;Aucun;0;Inconnu;shop
411;Cours de catamarans - Centre Nautique du Tréport;Aucun;0;Inconnu;other
412;Forêt domaniale d'Arques;Aucun;0;Inconnu;nature
415;La Saurisserie;Aucun;0;Inconnu;accommodation
419;Auberge de la Forêt;Aucun;0;Inconnu;food
422;Résidence du bord de mer n°5;Aucun;0;Inconnu;accommodation
423;La Charreterie - Studio;Aucun;0;Inconnu;accommodation
424;Mme ROSSIGNOL Geneviève;Aucun;0;Inconnu;accommodation
427;Les Magiciens de La Nuit;Aucun;0;Inconnu;activity
429;Gîtes de France® - La Villa;Aucun;0;Inconnu;accommodation
431;Aire de stationnement et de service Camping Les Falaises de Toussaint;Aucun;0;Inconnu;accommodation
432;Bistrot des Barrières;Aucun;0;Inconnu;food
440;L'idylle;Aucun;0;Inconnu;accommodation
441;Gîtes de France® - La Lampotte 1;Aucun;0;Inconnu;accommodation
449;Hôtel Sofhôtel;Aucun;0;Inconnu;accommodation
456;Les Gîtes de Marjorie - La Maison de Jeanne;Aucun;0;Inconnu;accommodation
